College ID,State,Name of the College,"Govt./Aided/Private/
Deemed"
AYU0156,Maharashtra,"Seth Govindji Raoji Ayurved College, 21-A/13, Budhwar Peth, Samrat Chowk,
Distt. Sholapur 413002, Maharashtra",Grant-in-aid
AYU0157,Maharashtra,"Yashwant Ayurvedic College Post Graduate Training & Research Centre, At & P.O, Kodoli, Tal.
Panhala,
Distt. Kolhapur-416114, Maharashtra",Private
AYU0158,Maharashtra,"Hanuman Shikshan Prasarak Mandal Savarde’s Ayurvedic Medical College Peth, Vadgaon, Taluka-Hatkanangale ,
Dist. Kolhapur-416112, Maharashtra",Private
AYU0159,Maharashtra,"Ganga Education Society’s Ayurvedic Medical College 147/A Ganga Hospital Building, Rankalaves Dudhali, Distt. Kolhapur-416012,
Maharashtra",Private
AYU0160,Maharashtra,"Smt. K.C. Ajmera Ayurved College,
Dayasagar Educational Campus, Agra Road, Deopur, Distt. & Tal Dhule–424002, Maharashtra",Private
AYU0161,Maharashtra,"Dadasaheb Surupsing Naik Ayurved Mahavidyalaya, Suwalal Bafna, Vidyanagar, At & Post-Nagaon,  Dist.: Dhule-424004,
Maharashtra",Private
AYU0162,Maharashtra,"Kisan Dnyanoday Mandal Gudhe’s Ayurved College & Hospital Near Aurangabad Bye Pass, Dhule Raod , Chalisgaon, Dist. Jalgaon-424101,
Maharashtra",Private
AYU0163,Maharashtra,"Chaitanya Ayurved Mahavidyalaya Sakegaon, N.H.No-6, Tal-Bhusawal Dist-Jalgaon-425201, Maharashtra",Private
AYU0164,Maharashtra,"R.A. Podar Ayurved Medical College
Dr. Annie Besant Road, Worli, Mumbai-400018, Maharashtra",Government
AYU0165,Maharashtra,"Smt. Kamaladevi Gauridutt Mittal Puanrvasu Ayurved Mahavidyalaya Vd. Ramgopal Sharma Chowk,
Netaji Subhash Road, Charni Road (West), Distt. Mumbai -400002, Maharashtra",Grant-in-aid
AYU0166,Maharashtra,"Ayurved Prasarak Mandal’s Ayurved Mahavidyalaya
Near Sion Railway Station, Distt. Mumbai- 400022 Maharashtra",Grant-in-aid
AYU0167,Maharashtra,"Yerala  Medical Trust Ayurvedic Medical College & Hospital Institutional Area, Sector No.4, Kharghar,
Navi Mumbai– 410210, Maharashtra",Private
AYU0168,Maharashtra,"RJVS Bhaisaheb Sawant Ayurved Mahavidyalaya, Sutikagriha Parisar, Khaskilwada, Taluka- Sawantwadi, Sindhu Durg-416510,
Maharashtra",Grant-in-aid
AYU0169,Maharashtra,"Shri Narsingh K. Dube Charitable Trust’s Nalasopara Ayurved Medical College & Hospital, Serve No-59 (Old) 112 New, Achole,
Nallasopara (E) Tal. Vasai, Dist. Thane- 401209, Maharashtra",Private
AYU0170,Maharashtra,"Bhau Saheb Mulak Ayurved Mahavidyalaya, Great Nag Road, Nandanwan,
Dist. Nagpur 440009, Maharashtra",Private
AYU0171,Maharashtra,"Govt. Ayurvedic College, Raje Raghuji Nagar, Umrer Road, Sakkardara Chowk, Nagpur-440024, Maharashtra",Government
AYU0172,Maharashtra,"Shri Ayurved Mahavidyalaya, Dhanwantri Marg, Hanuman Nagar Nagpur- 440009,
Maharashtra",Grant-in-aid
AYU0173,Maharashtra,"Shri Radhakisan Toshniwal Ayurved Mahavidyalaya, Kediya Plots, Jathur Peth Road,
Dist. Akola-444005, Maharashtra",Grant-in-aid
AYU0174,Maharashtra,"Vidarbha Ayurved Mahavidyalaya, Dhanwantari Nagar, Chhatri Talao Road, Taluka & Distt. Amrawati-444606, Maharashtra",Grant-in-aid
AYU0175,Maharashtra,"Shri Gurudeo Ayurved College, At/Po. Gurukunj Ashram, Tq. Tiosa, Dist. Amravati-444902, Maharashtra",Government aided
AYU0176,Maharashtra,"Dayabhai Maoji Majithiya Ayurved Mahavidyalaya, Shivaji Nagar, Arni Road, Distt.-Yavatmal-445001, Maharashtra",Grant-in-aid
AYU0177,Maharashtra,"Shri Gajanan Maharaj Sansthan Ayurved Mahavidyalaya, Washim Road, Tq. Pusad Distt. Yavatmal–445215, Maharashtra",Private
